date,amount,category,Text
2025-08-28,2.0,Public transport,
2025-08-29,1.0,Public transport,
2025-08-30,22.0,Cafe,
2025-08-30,9.0,Bought for myself,
2025-08-30,10.0,Public transport,
2025-08-31,11.0,Cafe,
2025-08-31,17.0,Cafe,
2025-08-31,55.0,Cafe,
2025-08-31,12.0,Taxi,
2025-08-31,10.0,Public transport,
2025-08-31,12.0,Leisure,
2025-08-31,10.0,Food,
2025-09-01,1.0,Public transport,
2025-09-01,21.0,Leisure,
2025-09-01,5.0,Cafe,
2025-09-02,2.0,Public transport,
2025-09-02,5.0,Cafe,
2025-09-03,2.0,Public transport,
2025-09-03,5.0,Public transport,
2025-09-03,4.0,Cafe,
2025-09-03,5.0,Cafe,
2025-09-04,15.0,Food,
2025-09-05,5.0,Gifts,
2025-09-05,2.0,Public transport,
2025-09-05,4.0,Cafe,
2025-09-05,1.0,Public transport,
2025-09-06,20.0,Taxi,
2025-09-06,1.0,Public transport,
2025-09-06,2.0,Public transport,
2025-09-06,5.0,Food,
2025-09-06,1.0,Public transport,
2025-09-06,1.0,Public transport,
2025-09-06,2.0,Public transport,
2025-09-06,9.0,Taxi,
2025-09-06,9.0,Cafe,
2025-09-07,18.0,Taxi,
2025-09-07,1.0,Public transport,
2025-09-08,17.0,University,
2025-09-08,2.0,Public transport,
2025-09-08,1.0,Public transport,
2025-09-09,6.0,Food,
2025-09-09,1.0,Public transport,
2025-09-09,1.0,Public transport,
2025-09-09,6.0,Food,
2025-09-09,1.0,Public transport,
2025-09-10,5.0,Food,
2025-09-10,9.0,Cafe,
2025-09-10,1.0,Public transport,
2025-09-11,10.0,Food,
2025-09-11,2.0,Public transport,
2025-09-11,457.0,Loan given,
2025-09-11,2.0,Public transport,
2025-09-11,9.0,Cafe,
2025-09-12,1.0,Public transport,
2025-09-12,1.0,Public transport,
2025-09-13,1.0,Public transport,
2025-09-13,1.0,Public transport,
2025-09-13,6.0,Taxi,
2025-09-14,1.0,Public transport,
2025-09-14,1.0,Public transport,
2025-09-14,5.0,University,
2025-09-14,15.0,Taxi,
2025-09-14,9.0,Cafe,
2025-09-15,1.0,Public transport,
2025-09-16,1.0,Public transport,
2025-09-17,73.0,Health,
2025-09-17,12.0,University,
2025-09-17,4.0,Cafe,
2025-09-17,1.0,Public transport,
2025-09-20,1.0,Public transport,
2025-09-20,1.0,Public transport,
2025-09-21,2.0,Public transport,
2025-09-21,1.0,Public transport,
2025-09-22,8.0,Cafe,
2025-09-22,1.0,Public transport,
2025-09-22,12.0,Gifts,
2025-09-23,2.0,Public transport,
2025-09-23,1.0,Public transport,
2025-09-23,2.0,Public transport,
2025-09-24,1.0,Public transport,
2025-09-24,1.0,Public transport,
2025-09-24,16.0,Cafe,
2025-09-24,6.0,Cafe,
2025-09-24,1.0,Public transport,
2025-09-24,1.0,Food,
2025-09-24,11.0,Food,
2025-09-25,81.0,Food,
2025-09-25,313.0,Food,
2025-09-25,1.0,Public transport,
2025-09-25,2.0,Public transport,
2025-09-25,1.0,Public transport,
2025-09-26,25.0,Taxi,
2025-09-26,232.0,Leisure,
